Die Schriften des Alten Testaments;EinlAT;0;1;1;Die Bibel [griechisch bíblos = Buch] oder die Heilige Schrift ist eine Sammlung von Büchern, die das Alte und Neue Testament umfasst. Das Alte Testament wird von Juden und Christen als Offenbarungsurkunde betrachtet. Die Bücher des Alten Testaments stammen von Verfassern, durch die Gott zu den Menschen spricht und durch die das Volk Israel seinen Glauben an die Heilstaten und Verheißungen Gottes bekennt. Juden und Christen glauben an die Inspiration (Eingebung) dieser Bücher durch den Geist Gottes. Das Verzeichnis der Bücher, die zur Heiligen Schrift gehören, nennt man Kanon [griechisch kanón = Maßstab], weil sie den Maßstab für den Glauben darstellen. Jesus und seine Jünger übernahmen die Bücher der Heiligen Schrift, wie sie ihr Volk kannte, und beriefen sich in ihrer Botschaft auf sie als auf das Wort Gottes.;
Matthäus;Mt;48;0;9;In der Alten Kirche wurde das erste Evangelium am meisten gelesen und beachtet und wurde so zu dem Evangelium der Kirche.;
Matthäus;Mt;48;1;1;Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:**;
Matthäus;Mt;48;1;1;*;"1-17: Der Stammbaum dient dem Nachweis, dass Jesus der Erbe der Verheißungen ist, die an Abraham und David ergingen. Die Namen des ersten Abschnitts (Abraham-David) sind Rut 4,18-22, die des zweiten (David bis Exil) 1 Chr 3,10-19 entnommen. An Eigentümlichkeiten finden sich: Zwischen Joram und Usija fehlen drei Könige: Ahasja, Joasch und Amazja (vgl. 2 Kön 8,25; 14,21; 1 Chr 3,11f). Statt Amos (1,10) steht 1 Chr 3,14 Amon. Im dritten Abschnitt fehlt ein Name (nur 13 Generationen statt 14). Auffällig ist die Nennung von vier Frauen (1,3.5.6), die Heidinnen waren (Rahab, Rut) oder als Sünderinnen galten (Tamar, Frau des Urija)."
Matthäus;Mt;48;1;1;*;℘ ⇨Esyn: Synopse Nr. 1
Matthäus;Mt;48;1;2;Abraham war der Vater von Isaak, /Isaak von Jakob, /Jakob von Juda und seinen Brüdern.**;
Matthäus;Mt;48;1;2;*;"℘ Gen 21,2f; 25,26; 29,32 - 30,24"
Matthäus;Mt;48;1;2;*;℘ ⇨Esyn: Synopse Nr. 6
Matthäus;Mt;48;1;3;"Juda war der Vater von Perez und Serach; ihre Mutter war Tamar. /Perez war der Vater von Hezron, /Hezron von Aram,*";
Matthäus;Mt;48;1;3;*;"℘ Gen 38,29f; (3-6) Rut 4,18-22"
Matthäus;Mt;48;1;4;Aram von Amminadab, /Amminadab von Nachschon, /Nachschon von Salmon.;
Matthäus;Mt;48;1;5;"Salmon war der Vater von Boas; dessen Mutter war Rahab. /Boas war der Vater von Obed; dessen Mutter war Rut. /Obed war der Vater von Isai,";
Matthäus;Mt;48;1;6;Isai der Vater des Königs David. /David war der Vater von Salomo, dessen Mutter die Frau des Urija war.*;
Matthäus;Mt;48;1;6;*;℘ 2 Sam 12,24
Matthäus;Mt;48;1;7;Salomo war der Vater von Rehabeam, /Rehabeam von Abija, /Abija von Asa,*;
Matthäus;Mt;48;1;7;*;℘ (7-12) 1 Chr 3,10-19
Matthäus;Mt;48;1;8;Asa von Joschafat, /Joschafat von Joram, /Joram von Usija.;
Matthäus;Mt;48;1;9;Usija war der Vater von Jotam, /Jotam von Ahas, /Ahas von Hiskija,;
Matthäus;Mt;48;1;10;Hiskija von Manasse, /Manasse von Amos, /Amos von Joschija.;
Matthäus;Mt;48;1;11;"Joschija war der Vater von Jojachin und seinen Brüdern; das war zur Zeit der Babylonischen Gefangenschaft.";
Matthäus;Mt;48;1;12;Nach der Babylonischen Gefangenschaft war Jojachin der Vater von Schealtiël, /Schealtiël von Serubbabel,;
Matthäus;Mt;48;1;13;Serubbabel von Abihud, /Abihud von Eljakim, /Eljakim von Azor.;
Matthäus;Mt;48;1;14;Azor war der Vater von Zadok, /Zadok von Achim, /Achim von Eliud,;
Matthäus;Mt;48;1;15;Eliud von Eleasar, /Eleasar von Mattan, /Mattan von Jakob.;
Matthäus;Mt;48;1;16;"Jakob war der Vater von Josef, dem Mann Marias; /von ihr wurde Jesus geboren, /der der Christus (der Messias) genannt wird.**";
Matthäus;Mt;48;1;16;*;℘ Lk 1,27
Matthäus;Mt;48;1;16;*;Es wird vorausgesetzt, dass Jesus durch Adoption in das Geschlecht Davids eingegliedert wurde (vgl. 1,24).
Matthäus;Mt;48;1;17;Im Ganzen sind es also von Abraham bis David vierzehn Generationen, von David bis zur Babylonischen Gefangenschaft vierzehn Generationen und von der Babylonischen Gefangenschaft bis zu Christus vierzehn Generationen.*;
Matthäus;Mt;48;1;17;*;"In dem Stammbaum mit den 3-mal 14 Generationen verbirgt sich eine Zahlensymbolik: Die Buchstaben dienen im Hebräischen zugleich als Ziffern; zählt man die Buchstaben des Namens David zusammen, so ergibt sich die Zahl 14. Die Generationenfolge soll veranschaulichen, dass sich in Jesus die an David ergangene messianische Verheißung erfüllt hat (2 Sam 7,12-16; vgl. Jes 11,1)."
Matthäus;Mt;48;1;18;"Mit der Geburt Jesu Christi war es so: Maria, seine Mutter, war mit Josef verlobt; noch bevor sie zusammengekommen waren, zeigte sich, dass sie ein Kind erwartete - durch das Wirken des Heiligen Geistes.***";
Matthäus;Mt;48;1;18;*;℘ (18-20) Lk 1,35
Matthäus;Mt;48;1;18;*;"Die jüdische «Verlobung» stellte ein rechtsverbindliches Eheversprechen dar; die eheliche Gemeinschaft wurde aber erst nach der Heimholung der Braut durch den Ehegatten, meist ein oder eineinhalb Jahre später, aufgenommen. Die jüdischen Mädchen heirateten gewöhnlich nach Eintritt der Geschlechtsreife mit 13 bis 14 Jahren. Vgl. noch Lk 1,26-38; 2,5."
Matthäus;Mt;48;1;18;*;℘ ⇨Esyn: Synopse Nr. 7
Matthäus;Mt;48;1;19;Josef, ihr Mann, der gerecht war und sie nicht bloßstellen wollte, beschloss, sich in aller Stille von ihr zu trennen.;
Matthäus;Mt;48;1;20;"Während er noch darüber nachdachte, erschien ihm ein Engel des Herrn im Traum und sagte: Josef, Sohn Davids, fürchte dich nicht, Maria als deine Frau zu dir zu nehmen; denn das Kind, das sie erwartet, ist vom Heiligen Geist.";
Matthäus;Mt;48;1;21;"Sie wird einen Sohn gebären; ihm sollst du den Namen Jesus geben; denn er wird sein Volk von seinen Sünden erlösen.**";
Matthäus;Mt;48;1;21;*;"℘ Lk 1,31; 2,21"
Matthäus;Mt;48;1;21;*;Der Name Jesus (Jeschua) wird hier als «Retter», «Erlöser» gedeutet.
Matthäus;Mt;48;1;22;Dies alles ist geschehen, damit sich erfüllte, was der Herr durch den Propheten gesagt hat:;
Matthäus;Mt;48;1;23;[Seht, die Jungfrau wird ein Kind empfangen,] /[einen Sohn wird sie gebären,] /[und man wird ihm den Namen Immanuel geben,] /das heißt übersetzt: Gott ist mit uns.*;
Matthäus;Mt;48;1;23;*;℘ Jes 7,14 G
Matthäus;Mt;48;1;24;Als Josef erwachte, tat er, was der Engel des Herrn ihm befohlen hatte, und nahm seine Frau zu sich.;
Matthäus;Mt;48;1;25;Er erkannte sie aber nicht, bis sie ihren Sohn gebar. Und er gab ihm den Namen Jesus.**;
Matthäus;Mt;48;1;25;*;℘ (1-17) Lk 3,23-38
Matthäus;Mt;48;1;25;*;«Erkennen» wird im Alten Orient auch als Umschreibung des ehelichen Verkehrs gebraucht.
Matthäus;Mt;48;2;1;Als Jesus zur Zeit des Königs Herodes in Betlehem in Judäa geboren worden war, kamen Sterndeuter aus dem Osten nach Jerusalem**;
Matthäus;Mt;48;2;1;*;Das mit «Sterndeuter» übersetzte griechische Wort (mágoi) bezeichnete zunächst die Mitglieder einer persischen Priesterkaste, die sich mit Sternkunde und Astrologie befassten, sodann allgemein babylonische und sonstige Astrologen. Sie wirkten oft als Berater von Königen, Fürsten und reichen Leuten.
Matthäus;Mt;48;2;1;*;℘ ⇨Esyn: Synopse Nr. 8
Matthäus;Mt;48;2;2;und fragten: Wo ist der neugeborene König der Juden? Wir haben seinen Stern aufgehen sehen und sind gekommen, um ihm zu huldigen.**;
Matthäus;Mt;48;2;2;*;℘ Num 24,17
Matthäus;Mt;48;2;2;*;Andere Übersetzungsmöglichkeit: Wir haben seinen Stern im Osten gesehen. Entsprechend in V. 9.
Matthäus;Mt;48;2;3;Als König Herodes das hörte, erschrak er und mit ihm ganz Jerusalem.;
Matthäus;Mt;48;2;4;Er ließ alle Hohenpriester und Schriftgelehrten des Volkes zusammenkommen und erkundigte sich bei ihnen, wo der Messias geboren werden solle.*;
Matthäus;Mt;48;2;4;*;℘ Joh 7,42
Matthäus;Mt;48;2;5;"Sie antworteten ihm: In Betlehem in Judäa; denn so steht es bei dem Propheten:";
Matthäus;Mt;48;2;6;"[Du, Betlehem] im Gebiet von Juda, /bist keineswegs [die unbedeutendste] /[unter den führenden Städten von Juda;] /[denn aus dir wird ein Fürst hervorgehen,] /[der Hirt meines Volkes Israel.]*";
Matthäus;Mt;48;2;6;*;"℘ Mi 5,1.3; 2 Sam 5,2"
Matthäus;Mt;48;2;7;Danach rief Herodes die Sterndeuter heimlich zu sich und ließ sich von ihnen genau sagen, wann der Stern erschienen war.;
Matthäus;Mt;48;2;8;"Dann schickte er sie nach Betlehem und sagte: Geht und forscht sorgfältig nach, wo das Kind ist; und wenn ihr es gefunden habt, berichtet mir, damit auch ich hingehe und ihm huldige.";
Matthäus;Mt;48;2;9;"Nach diesen Worten des Königs machten sie sich auf den Weg. Und der Stern, den sie hatten aufgehen sehen, zog vor ihnen her bis zu dem Ort, wo das Kind war; dort blieb er stehen.";
Matthäus;Mt;48;2;10;Als sie den Stern sahen, wurden sie von sehr großer Freude erfüllt.;
Matthäus;Mt;48;2;11;"Sie gingen in das Haus und sahen das Kind und Maria, seine Mutter; da fielen sie nieder und huldigten ihm. Dann holten sie ihre Schätze hervor und brachten ihm Gold, Weihrauch und Myrrhe als Gaben dar.";
Matthäus;Mt;48;2;12;Weil ihnen aber im Traum geboten wurde, nicht zu Herodes zurückzukehren, zogen sie auf einem anderen Weg heim in ihr Land.;
Matthäus;Mt;48;2;13;"Als die Sterndeuter wieder gegangen waren, erschien dem Josef im Traum ein Engel des Herrn und sagte: Steh auf, nimm das Kind und seine Mutter, und flieh nach Ägypten; dort bleibe, bis ich dir etwas anderes auftrage; denn Herodes wird das Kind suchen, um es zu töten.*";
Matthäus;Mt;48;2;13;*;℘ ⇨Esyn: Synopse Nr. 10
Matthäus;Mt;48;2;14;Da stand Josef in der Nacht auf und floh mit dem Kind und dessen Mutter nach Ägypten.;
Matthäus;Mt;48;2;15;Dort blieb er bis zum Tod des Herodes. Denn es sollte sich erfüllen, was der Herr durch den Propheten gesagt hat: [Aus Ägypten habe ich meinen Sohn gerufen.]*;
Matthäus;Mt;48;2;15;*;℘ Hos 11,1
Matthäus;Mt;48;2;16;Als Herodes merkte, dass ihn die Sterndeuter getäuscht hatten, wurde er sehr zornig und er ließ in Betlehem und der ganzen Umgebung alle Knaben bis zum Alter von zwei Jahren töten, genau der Zeit entsprechend, die er von den Sterndeutern erfahren hatte.;
Matthäus;Mt;48;2;17;Damals erfüllte sich, was durch den Propheten Jeremia gesagt worden ist:;
Matthäus;Mt;48;2;18;[Ein Geschrei war in Rama zu hören,] /lautes [Weinen und Klagen:] /[Rahel weinte um ihre Kinder] /[und wollte sich nicht trösten lassen,] /[denn sie waren dahin.]**;
Matthäus;Mt;48;2;18;*;℘ Jer 31,15
Matthäus;Mt;48;2;18;*;"Rahel, die Mutter der Stämme Benjamin und Efraim - nicht aber Juda -, wurde bei Rama, etwa 8 Kilometer nördlich von Jerusalem begraben (vgl. 1 Sam 10,2). Zur Zeit Jesu vermutete man dieses Grab am Weg von Jerusalem nach Betlehem (vgl. Gen 35,19; 48,7). Noch heute steht dort eine Gedenkstätte."
Matthäus;Mt;48;2;19;Als Herodes gestorben war, erschien dem Josef in Ägypten ein Engel des Herrn im Traum;
Matthäus;Mt;48;2;20;"und sagte: Steh auf, nimm das Kind und seine Mutter und zieh in das Land Israel; denn die Leute, die dem Kind nach dem Leben getrachtet haben, sind tot.";
Matthäus;Mt;48;2;21;Da stand er auf und zog mit dem Kind und dessen Mutter in das Land Israel.;
Matthäus;Mt;48;2;22;Als er aber hörte, dass in Judäa Archelaus an Stelle seines Vaters Herodes regierte, fürchtete er sich, dorthin zu gehen. Und weil er im Traum einen Befehl erhalten hatte, zog er in das Gebiet von Galiläa*;
Matthäus;Mt;48;2;22;*;℘ ⇨Esyn: Synopse Nr. 11
Matthäus;Mt;48;2;23;und ließ sich in einer Stadt namens Nazaret nieder. Denn es sollte sich erfüllen, was durch die Propheten gesagt worden ist: Er wird Nazoräer genannt werden.***;
Matthäus;Mt;48;2;23;*;℘ Lk 2,4-7
Matthäus;Mt;48;2;23;*;"℘ Lk 1,26; 2,39.51; Joh 1,46; Ri 13,5.7 G"
Matthäus;Mt;48;2;23;*;"Das Prophetenwort steht in dieser Form nicht im Alten Testament; vielleicht liegt eine Anspielung auf Jes 11,1 vor, wo vom «Spross» (hebräisch: nezer) die Rede ist."
Matthäus;Mt;48;3;1;In jenen Tagen trat Johannes der Täufer auf und verkündete in der Wüste von Judäa:;
Matthäus;Mt;48;3;2;Kehrt um! Denn das Himmelreich ist nahe.*;
Matthäus;Mt;48;3;2;*;"℘ Apg 13,24; 19,4"
Matthäus;Mt;48;3;3;Er war es, von dem der Prophet Jesaja gesagt hat: [Eine Stimme ruft in der Wüste:] /[Bereitet dem Herrn den Weg!] /[Ebnet] ihm [die Straßen!]*;
Matthäus;Mt;48;3;3;*;℘ Jes 40,3 G
Matthäus;Mt;48;3;4;"Johannes trug ein Gewand aus Kamelhaaren und einen ledernen Gürtel um seine Hüften; Heuschrecken und wilder Honig waren seine Nahrung.**";
Matthäus;Mt;48;3;4;*;℘ 2 Kön 1,8
Matthäus;Mt;48;3;4;*;"Nahrung und Kleidung weisen auf den Prophetenberuf und auf die asketische Lebensweise des Täufers hin. Er wird nach dem Vorbild des Propheten Elija gezeichnet, der ebenfalls am Unterlauf des Jordan wirkte (vgl. 2 Kön 1,8; 2,1-18)."
Matthäus;Mt;48;3;5;"Die Leute von Jerusalem und ganz Judäa und aus der ganzen Jordangegend zogen zu ihm hinaus;";
Matthäus;Mt;48;3;6;sie bekannten ihre Sünden und ließen sich im Jordan von ihm taufen.;
Matthäus;Mt;48;3;7;Als Johannes sah, dass viele Pharisäer und Sadduzäer zur Taufe kamen, sagte er zu ihnen: Ihr Schlangenbrut, wer hat euch denn gelehrt, dass ihr dem kommenden Gericht entrinnen könnt?***;
Matthäus;Mt;48;3;7;*;"℘ 12,34; 23,33; (7-10) Lk 3,7-9; (11-12) Mk 1,7f; Lk 3,15-17"
Matthäus;Mt;48;3;7;*;Gericht, wörtlich: Zorn.
Matthäus;Mt;48;3;7;*;℘ ⇨Esyn: Synopse Nr. 14
Matthäus;Mt;48;3;8;Bringt Frucht hervor, die eure Umkehr zeigt,;
Matthäus;Mt;48;3;9;und meint nicht, ihr könntet sagen: Wir haben ja Abraham zum Vater. Denn ich sage euch: Gott kann aus diesen Steinen Kinder Abrahams machen.*;
Matthäus;Mt;48;3;9;*;"℘ Joh 8,39; Röm 4,12"
Matthäus;Mt;48;3;10;"Schon ist die Axt an die Wurzel der Bäume gelegt; jeder Baum, der keine gute Frucht hervorbringt, wird umgehauen und ins Feuer geworfen.*";
Matthäus;Mt;48;3;10;*;℘ 7,19
Matthäus;Mt;48;3;11;Ich taufe euch nur mit Wasser (zum Zeichen) der Umkehr. Der aber, der nach mir kommt, ist stärker als ich und ich bin es nicht wert, ihm die Schuhe auszuziehen. Er wird euch mit dem Heiligen Geist und mit Feuer taufen.*;
Matthäus;Mt;48;3;11;*;"℘ Joh 1,15.24.25-28.30f.33; Apg 13,25; 1,5; 11,16 ⇨Esyn: Synopse Nr. 16"
Matthäus;Mt;48;3;12;"Schon hält er die Schaufel in der Hand; er wird die Spreu vom Weizen trennen und den Weizen in seine Scheune bringen; die Spreu aber wird er in nie erlöschendem Feuer verbrennen.*";
Matthäus;Mt;48;3;12;*;℘ 13,30
Matthäus;Mt;48;3;13;Zu dieser Zeit kam Jesus von Galiläa an den Jordan zu Johannes, um sich von ihm taufen zu lassen.*;
Matthäus;Mt;48;3;13;*;"℘ (13-17) Mk 1,9-11; Lk 3,21f; Joh 1,29-34 ⇨Esyn: Synopse Nr. 18"
Matthäus;Mt;48;3;14;Johannes aber wollte es nicht zulassen und sagte zu ihm: Ich müsste von dir getauft werden, und du kommst zu mir?;
Matthäus;Mt;48;3;15;Jesus antwortete ihm: Lass es nur zu! Denn nur so können wir die Gerechtigkeit (die Gott fordert) ganz erfüllen. Da gab Johannes nach.;
Matthäus;Mt;48;3;16;Kaum war Jesus getauft und aus dem Wasser gestiegen, da öffnete sich der Himmel, und er sah den Geist Gottes wie eine Taube auf sich herabkommen.;
Matthäus;Mt;48;3;17;Und eine Stimme aus dem Himmel sprach: [Das ist mein geliebter Sohn, an dem ich Gefallen][gefunden habe.]**;
Matthäus;Mt;48;3;17;*;"℘ (1-6) Mk 1,2-6; Lk 3,3-6; Joh 1,19-23 ⇨Esyn: Synopse Nr. 13"
Matthäus;Mt;48;3;17;*;"℘ Gen 22,2; Ps 2,7; Jes 42,1; Mt 12,18; 17,5; Mk 1,11; 9,7; Lk 3,22; 9,35"
Matthäus;Mt;48;4;1;"Dann wurde Jesus vom Geist in die Wüste geführt; dort sollte er vom Teufel in Versuchung geführt werden.*";
Matthäus;Mt;48;4;1;*;℘ ⇨Esyn: Synopse Nr. 20
Matthäus;Mt;48;4;2;Als er vierzig Tage und vierzig Nächte gefastet hatte, bekam er Hunger.*;
Matthäus;Mt;48;4;2;*;℘ Ex 34,28
Matthäus;Mt;48;4;3;Da trat der Versucher an ihn heran und sagte: Wenn du Gottes Sohn bist, so befiehl, dass aus diesen Steinen Brot wird.;
Matthäus;Mt;48;4;4;Er aber antwortete: In der Schrift heißt es: [Der Mensch lebt nicht nur von Brot, sondern von jedem Wort, das aus Gottes Mund kommt.]*;
Matthäus;Mt;48;4;4;*;℘ Dtn 8,3
Matthäus;Mt;48;4;5;Darauf nahm ihn der Teufel mit sich in die Heilige Stadt, stellte ihn oben auf den Tempel;
Matthäus;Mt;48;4;6;"und sagte zu ihm: Wenn du Gottes Sohn bist, so stürz dich hinab; denn es heißt in der Schrift: [Seinen Engeln befiehlt er,] /[dich auf ihren Händen zu tragen,] /[damit dein Fuß nicht an einen Stein stößt.]*";
Matthäus;Mt;48;4;6;*;℘ Ps 91,11f
Matthäus;Mt;48;4;7;Jesus antwortete ihm: In der Schrift heißt es auch: [Du sollst den Herrn, deinen Gott, nicht auf die Probe stellen.]*;
Matthäus;Mt;48;4;7;*;℘ Dtn 6,16
Matthäus;Mt;48;4;8;"Wieder nahm ihn der Teufel mit sich und führte ihn auf einen sehr hohen Berg; er zeigte ihm alle Reiche der Welt mit ihrer Pracht";
Matthäus;Mt;48;4;9;und sagte zu ihm: Das alles will ich dir geben, wenn du dich vor mir niederwirfst und mich anbetest.;
Matthäus;Mt;48;4;10;Da sagte Jesus zu ihm: Weg mit dir, Satan! Denn in der Schrift steht: [Vor dem Herrn, deinem Gott, sollst du dich niederwerfen und ihm] allein [dienen.]*;
Matthäus;Mt;48;4;10;*;"℘ Dtn 5,9; 6,13"
